Sample,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,QC_001,QC_003,QC_005,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157
Label,Naive,Naive,Naive,Naive,Naive,Naive,QC,QC,QC,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue,Semi_immue
89.0086__24.74,451165.87419,542725.68426,286209.7564,541551.73451,440257.31715,609677.7561,939329.94128,1211134.50443,931844.28597,934873.09413,714865.44044,1165119.77238,681104.42159,1016876.03408,1037434.76692
89.0551__127.98,2245879.11823,2145231.9106,3233700.86187,4240911.76902,4685908.51526,3184369.06262,7139384.27549,6507480.52215,6223935.67066,6430235.18961,6650694.88829,8670294.92412,5527517.38063,4736892.21828,10241398.84047
89.0599__36.98,0,0,0,0,0,0,69251.3124,63617.87841,69784.21746,470113.80194,96322.66517,418342.93907,462972.45379,544382.74413,889611.25155
89.0792__56.3,11092.73751,42244.7639,33522.38038,0,12811.10595,45253.47582,163558.10566,178041.94316,176517.80939,145415.61103,94191.82777,118278.1682,135328.05315,216414.98142,192194.56383
89.507__90.24,311976630.25263,309294175.56786,303707074.66831,0,319131976.57522,293375199.99913,430537905.81032,450344494.90432,440481903.94446,210289081.47036,324254255.43984,187109496.58064,329853460.09963,564363220.73097,446340885.83209
89.507__202.52,881485846.13879,330750200.58102,1040459093.38713,556370881.08519,390495075.50845,803201613.09248,584085024.26293,238997139.12847,321659301.65011,421112792.71789,374264542.69631,1046527090.04427,590140930.73614,488064962.27485,345426507.94319
89.507__158.37,452812407.86977,441664573.22575,551888959.10074,533283980.03905,475084405.33632,539067257.41415,47054991.10873,69472803.21178,79093262.58513,433279419.17486,477768081.87464,418895504.325,372712027.58082,581310270.68451,462763599.92826
89.507__139.69,322120029.03329,290307891.31596,309331997.12355,521980391.10425,529918916.72956,310505012.35801,4101273.05439,6639128.79201,9871484.19686,244996707.89636,183065473.88266,369170394.37251,175354013.02477,283187747.12335,521493134.78863
89.507__184.45,311890005.42245,325730952.92459,306315099.5979,0,323797063.27437,364757675.88697,77548652.99201,22927002.83097,194936056.33813,312234293.29143,404407827.04848,313792737.55291,344016706.04617,377223951.24341,314394479.01752
90.0087__90.42,18466148.72539,17814241.58455,16770631.98055,0,12519909.24925,16589375.08906,26142640.54027,28422080.10125,26860073.38101,4053109.13996,18532204.28863,20278203.99435,19388213.09602,5831551.1418,16846098.487
90.0087__177.58,40121915.92524,8364151.57153,18544115.86414,0,38429763.08416,7455161.25956,5609155.63651,6595923.50737,9148675.95309,20531119.36534,19729840.45967,18002337.42729,19636338.23274,25766760.3559,20375980.48178
90.0087__202.45,10592351.15512,26539816.07212,19233636.32996,28835359.58398,17084018.06946,72902850.69307,21215101.83147,26291969.99999,40738446.75589,42936721.64751,65272560.53232,42699885.07891,45608477.26533,35032670.58985,63196465.21125
90.0087__34.97,461655.20517,335171.96524,363719.47877,17219.80572,518536.72288,307662.83724,479274.67238,553048.70759,253286.81703,406608.39152,48523.80788,372746.56762,299894.44632,594982.76604,557434.31361
90.0088__24.78,710548.87775,804304.03131,457375.21914,916589.25575,597864.86405,955198.28718,467408.8765,542964.18083,1222639.51848,117032.80648,477887.54536,757857.73259,115188.81965,1045767.47391,959132.95742
90.0552__93.15,102007.59052,29083.39805,36597.8524,0,34893.51123,63648.55755,49826850.46327,44824792.75209,39528924.45207,3754487.04192,83529.31269,2219929.59144,1186254.37412,19852373.07654,16312468.59401
90.0553__117.94,2684006.15427,50564018.97658,55756320.42569,53306087.97795,2701671.55672,3481378.69352,206449835.93278,184224545.06797,182291356.26496,90051316.23325,102656784.57999,180949075.74518,147813290.43171,164093982.95729,161321643.96499
90.0915__157.69,13676249.98272,8071586.65879,33570002.43939,8941417.16784,14101243.69102,29969047.90844,9917715.31895,11509111.77657,11075273.20692,4413840.49625,7448266.94867,15026074.35833,6787413.7167,36685627.85905,15235709.7012
90.0915__140.03,20127215.67853,15958540.27689,19946420.94676,7448625.84628,11369641.89216,7176183.81218,5409601.20305,5576007.47303,6273153.8473,10102455.52802,8411640.60588,8475208.4271,10005609.39795,16535336.20618,7509638.31883
90.0916__130.07,4198758.6763,5983723.54771,14238615.0414,3562717.7437,2332663.46249,2903633.97314,5973489.11348,5712128.32784,6356604.57304,7323084.84964,10764460.31583,7385955.02492,5381062.63378,8142280.14129,5537584.27974
90.0916__56.79,684544.21527,599038.60011,667055.48794,597416.63113,449750.92989,595388.31659,1764484.09689,2064585.59511,2061686.86393,2910505.77449,2576386.61843,3728136.22034,2969469.75085,2533371.20621,1822389.26933
90.3146__111.16,0,0,0,0,0,0,44243.30769,47105.49007,35241.60478,93596.11783,105219.76618,118547.2796,86078.40927,256072.38788,82317.79631
90.5072__35.86,219793.49706,168126.40585,123165.78666,0,24356.30429,148594.13004,814040.18341,766702.25902,712313.36682,557477.83273,354087.86065,508569.77466,539361.28999,709168.00527,668522.42595
